"Keywords","Domain","Last Update Date (data)","Downloads","U ID","Description","Creation Date","Visits","Name","ContactEmail","Owner","Category","Type","Frequency","Department","Derived View"
"","data.austintexas.gov","09/18/2013 02:14:06 PM +0000","127","9bpw-2ysw","A list of drop-off locations to recycle waste oil, oil filters, tires, automotive batteries, metal scrap, aluminum cans, tin cans, glass, plastic, corrugated boxes newspapers and other papers.","07/17/2013 01:52:43 PM +0000","1041","Map view of Recycle Drop Off Locations Austin","","Watershed Education","Environmental","map","As Needed","Watershed Protection","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","54","kfeh-ue8m","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","11/14/2013 10:51:57 PM +0000","775","Shoal Creek Data","","Rob","Environmental","filter/grouped","Quarterly","","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","53","ua3c-ghnb","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/18/2014 03:59:35 PM +0000","669","EII_Data_Period_of_Record","","Rob","Environmental","filter/grouped","Quarterly","","true"
"indicator,measure,annual performance report","data.austintexas.gov","05/18/2016 02:17:19 PM +0000","8","di5n-5jf6","Dataset for the 2015 Annual Performance Report","05/06/2016 03:42:34 PM +0000","22","FY 2015_Visualization_ASO_Number Spays Neuters Performed","","Alyson","Government","chart","Annually","Financial Services","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","57","absm-7v2u","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","01/28/2014 11:41:17 PM +0000","621","Bee Creek Water Quality Data","","Rob","Environmental","filter/grouped","Quarterly","","true"
"dangerous,dogs,public safety,pets,animals","data.austintexas.gov","05/05/2016 07:30:20 PM +0000","420","ykw4-j3aj","No declared Dangerous Dog in the City of Austin and Travis County should ever be running at large. They are court ordered to be restrained at all times and should be wearing a large tag identifying them as a Dangerous Dog. They have attacked in the past. The owner is required to provide $100,000 in financial responsibility. If they attack again the court could order them put to sleep.","08/30/2012 06:27:24 PM +0000","1211","Declared  Dangerous Dogs","","Austin Animal Center","Public Safety","table","As Needed","Animal Services","false"
"cat,dog,austin animal center,data,open government","data.austintexas.gov","03/04/2014 04:38:40 PM +0000","190","atrx-cf82","cat & dog total live outcome rates for February 2014","03/04/2014 04:37:11 PM +0000","1120","February 2014 Austin Animal Center Total Live Outcome Rates","","Austin Animal Center","Government","table","Monthly","Animal Services","false"
"","data.austintexas.gov","03/04/2016 10:04:22 PM +0000","222","fc48-h8gp","The City of Austin as approved by Council resolution agreed to serve as the endorsing municipality.","03/26/2015 01:57:15 PM +0000","1257","Trust Fund Documents","","Melissa Alvarado","Government","table","As Needed","Economic Development","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","51","iduh-bvk6","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/27/2014 10:55:39 PM +0000","548","CADDISFLIES_BARTON_CREEK","","Rob","Environmental","filter/grouped","Quarterly","","true"
"financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments","data.austintexas.gov","09/12/2016 12:07:59 PM +0000","60","s78c-gi5b","Flat file data set of the data found in the Austin Finance Online eCheckbook application.  The data contained in this dataset is for informational purposes only and contains expenditure information for the City of Austin. Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002; therefore, the line amounts may not reflect the total check amount if certain Austin Energy invoices were included on the check.  Please visit the Austin Finance Online website for a searchable front end to this data set.","07/22/2013 09:41:10 PM +0000","1095","eCheckbook Contractual Services payments","","Chris","Financial","filter/grouped","Monthly","Financial Services","true"
"cip,bond,bonds","data.austintexas.gov","06/30/2016 08:44:35 PM +0000","30","xiwe-yj7v","The table provides spending details on the City’s voter-approved bond programs. The information summarizes spending by fiscal year quarter starting with FY 13 Q3. Please see the Capital Planning Office website, www.austintexas.gov/cip, for more information about the City’s voter-approved bond programs. The fiscal year begins October 1 and ends September 30. The first fiscal quarter is October through December; the second quarter is January through March; the third fiscal quarter is April through June; and the fourth fiscal quarter is July through September. The following are definitions of terms used in the table. Allocated: The amount of funds designated by the City of Austin Budget Office to be spent per reporting category or proposition. Allocated funds are tied to bond sales, which must be performed in $5,000 increments. Appropriated: City Council authorizes the appropriation of funds, which gives staff the legal authority to expend the funds for a specific purpose. City Council may approve multiple installments of funding throughout the project’s phases. Available: The amount of funds allocated minus the amount encumbered and expended. Encumbered: Commitments made to unperformed contracts for goods or services. Expenditure: Funds that have been paid for goods or services.","05/11/2015 05:56:48 PM +0000","840","2012 Bond Spending Summary - FY 2015 Q2","","Ashley Parsons","Capital Planning","chart","Quarterly","Management Services","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","114","r5kt-xq3y","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","05/14/2012 03:07:52 PM +0000","457","Mabel_Davis_Pond_Data","","Rob","Environmental","filter/grouped","Quarterly","","true"
"art,culture,public,collection,aipp","data.austintexas.gov","08/22/2012 09:19:16 PM +0000","362","yqxj-7evp","This file contains the names and address of artworks commissioned through the Austin Art in Public Places Program","08/22/2012 09:18:27 PM +0000","852","City of Austin Public Art Collection","","opendataatx","Fun","table","Quarterly","Other","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","50","rvre-fsbx","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","09/24/2014 05:59:52 PM +0000","402","Mussel Locations","","Rob","Environmental","filter/grouped","Quarterly","","true"
"","data.austintexas.gov","06/29/2016 05:51:22 PM +0000","265","p6pb-jvsm","","02/10/2014 08:57:17 PM +0000","1139","Economic Development Compliance: Chapter 380 Individual Payments and Compliance Reports","","Melissa Alvarado","","table","As Needed","Economic Development","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","53","tz7h-nvqd","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","12/11/2013 04:41:08 PM +0000","349","Barton Springs Nitrate","","Rob","Environmental","filter/grouped","Quarterly","","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","39","kz9j-6kqy","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/27/2014 09:34:56 PM +0000","463","Barton Springs Area Nitrate Calendar View Example","","Rob","Environmental","calendar","Quarterly","","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","69","nq9x-w8sx","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","07/20/2012 02:59:56 PM +0000","356","REQUEST_ELIZA_OLDMILL_UPPER_FLOW","","Rob","Environmental","filter/grouped","Quarterly","","true"
"address,location,points","data.austintexas.gov","","629","bpa2-q2tj","Address assignments for properties, structures, and other. This data has been produced by the City of Austin for the sole purpose of aiding regional planning and is not warranted for any other use. No warranty is made by the City regarding its accuracy or completeness.","06/29/2015 06:03:24 PM +0000","1263","Address Points","","Aubrey Drescher","Geodata","map","","","false"
"housing,affordable,mfi,rhda,a&d,ahfc,developer incentives,density bonus,nhcd","data.austintexas.gov","08/25/2015 06:12:41 PM +0000","334","32y8-3gbr","This dataset is an inventory of the City of Austin's affordable housing investments secured via funds administered or agreements affirmed (developer incentives).  It includes, 1. all rental units with currently operating affordability periods funded via the Rental Housing Developer Assistance (RHDA) Program, Austin Housing Finance Corporation (AHFC) Private Activity Bonds, or a City of Austin Developer Incentive Program (S.M.A.R.T. Housing, University Neighborhood Overlay (UNO), Transit Oriented Development (TOD), Vertical Mixed Use (VMU), or Rainey District (RAINEY). 2. All ownership units with currently operating affordability periods funded via the Acquisition & Development - Developer (A&D-D) Program from 2007 - 2014. Selected field descriptions: 1. Contract ID# - a unique identifier for each contract or agreement. 2. Development Program - City program responsible for the creation/retention of affordable units.  The development program represents the program with the most rigorous affordability terms for developments that accessed multiple programs (i.e., RHDA & S.M.A.R.T). 3. Affordability Period - The period in which rents are restricted. 4. Units at X% MFI - the number of restricted to various income levels determined as a percentage of the Austin-Round Rock-San Marcos Metropolitan Statistical Area (MSA) Median Family Income (MFI).  For MFI reference visit - http://www.austintexas.gov/page/income-limits. 5. Approx. % of City Funds Leveraged - Amount of external funding secured for development as a percentage of the City's investment.","08/12/2015 06:54:58 PM +0000","1533","Affordable Housing Inventory","","Jonathan Tomko","Neighborhood","table","As Needed","Neighborhood Housing and Community Development","false"
"indicator,measure,annual performance report","data.austintexas.gov","05/18/2016 02:17:19 PM +0000","10","k4mw-rndj","Dataset for the 2015 Annual Performance Report","05/06/2016 02:08:57 PM +0000","41","FY 2015_Visualization_PARD_Citizen Satisfaction with Appearance of Park Grounds","","Alyson","Government","chart","Annually","Financial Services","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","338","b6cd-bhbk","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","01/30/2012 10:45:52 PM +0000","1102","Lady Bird Lake @ Mopac Bridge","","benhaschk3","Environmental","filter/grouped","Quarterly","","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","50","g74h-67up","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/08/2014 05:25:54 AM +0000","257","BARTON AREA SPRINGS NITRATE AVERAGE MG/L BY YEAR TREE MAP","","Rob","Environmental","chart","Quarterly","","true"
"building,electrical,mechanical,plumbing,permits,driveway,sidewalk,development,services,land development code,permit center,one texas center,blds","data.austintexas.gov","10/02/2016 09:24:54 AM +0000","383","3syk-w9eu","Building, Electrical, Mechanical, and Plumbing Permits and Driveway/Sidewalk Permits issued by the City of Austin.  Includes relevant details such as issue date, location, council district, expiration date, description of work, square footage, valuation, and units; This dataset is compliant with the Building & Land Development Specification (BLDS) data standard.","07/09/2015 07:05:33 PM +0000","1236","Issued Construction Permits","","Julia","Permitting","table","Daily","Development Services","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","42","23ec-3xhh","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/08/2014 05:21:13 AM +0000","224","BARTON AREA SPRINGS NITRATE MG/L AVERAGE PER YEAR TIMELINE","","Rob","Environmental","chart","Quarterly","","true"
"cip,bond,bonds","data.austintexas.gov","06/30/2016 08:44:35 PM +0000","39","2v4r-692p","The table provides spending details on the City’s voter-approved bond programs. The information summarizes spending by fiscal year quarter starting with FY 13 Q3. Please see the Capital Planning Office website, www.austintexas.gov/cip, for more information about the City’s voter-approved bond programs. The fiscal year begins October 1 and ends September 30. The first fiscal quarter is October through December; the second quarter is January through March; the third fiscal quarter is April through June; and the fourth fiscal quarter is July through September. The following are definitions of terms used in the table. Allocated: The amount of funds designated by the City of Austin Budget Office to be spent per reporting category or proposition. Allocated funds are tied to bond sales, which must be performed in $5,000 increments. Appropriated: City Council authorizes the appropriation of funds, which gives staff the legal authority to expend the funds for a specific purpose. City Council may approve multiple installments of funding throughout the project’s phases. Available: The amount of funds allocated minus the amount encumbered and expended. Encumbered: Commitments made to unperformed contracts for goods or services. Expenditure: Funds that have been paid for goods or services.","02/06/2015 09:25:14 PM +0000","659","2013 Bond Spending Summary - FY 2015 Q1","","Ashley Parsons","Capital Planning","chart","Quarterly","Management Services","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","43","wdtk-6aqn","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/08/2014 05:18:56 AM +0000","258","BARTON AREA SPRINGS NITRATE AVERAGE BY YEAR","","Rob","Environmental","filter/grouped","Quarterly","","true"
"indicator,measure,annual performance report","data.austintexas.gov","05/18/2016 02:17:19 PM +0000","8","s3ub-tvmc","Dataset for the 2015 Annual Performance Report","05/10/2016 04:12:18 PM +0000","29","FY 2015_Visualization_AE_Heat Rate","","jesse.rodriguez","Government","chart","Annually","Financial Services","true"
"indicator,measure,annual performance report","data.austintexas.gov","05/18/2016 02:17:19 PM +0000","8","vf3f-jwcz","Dataset for the 2015 Annual Performance Report","05/06/2016 02:06:21 PM +0000","20","FY 2015_Visualization_APL_Visits Per Capita","","Alyson","Government","chart","Annually","Financial Services","true"
"financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments","data.austintexas.gov","09/12/2016 12:07:59 PM +0000","49","eqas-3yai","Flat file data set of the data found in the Austin Finance Online eCheckbook application.  The data contained in this dataset is for informational purposes only and contains expenditure information for the City of Austin. Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002; therefore, the line amounts may not reflect the total check amount if certain Austin Energy invoices were included on the check.  Please visit the Austin Finance Online website for a searchable front end to this data set.","07/22/2013 09:40:28 PM +0000","861","eCheckbook Commodities/Others payments","","Chris","Financial","filter/grouped","Monthly","Financial Services","true"
"small business enterprise,sbe,small,business,enterprise,certified,certification,vendor,finance,smbr","data.austintexas.gov","09/12/2016 12:00:18 PM +0000","440","uxwx-55kj","This is a listing of the currently certified small business enterprises registered with the City of Austin.","07/15/2015 07:26:50 PM +0000","1203","Current Small Business Enterprise, SBE, Certfied Vendors","","carawaym","Financial","table","Weekly","Financial Services","false"
"","data.austintexas.gov","08/19/2016 01:59:06 PM +0000","131","5gjn-nmcf","Please read and understand the following information.; ; Understanding the following conditions will allow you to get the most out of the data provided; ???	Due to the methodological differences in data collection, different data sources may produce different results.; ???	Our on-line database is continuously being updated. The data provided here represents a particular point in time.; Searches may be accomplished using several geographic boundaries: Police area commands or districts, zip codes and census tracts. Additionally, a known case number may be entered. Updates to the police report database occur daily. Information is available from today???s date back 18 months.; Due to several factors (once-a-day updates, offense reclassification, reported versus occurred dates, etc.) comparisons should not be made between numbers generated with this database to any other official police reports. Data provided represents only calls for police service where a report was written; Totals in the database may vary considerably from official totals following investigation and final categorization. Therefore, the data should not be used for comparisons with Uniform Crime Report statistics; The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.","05/22/2012 08:08:17 AM +0000","1009","2010","","ROCHELLE","Public Safety","map","Daily","Austin Police ","true"
"recycle,resource,trash,brush collection,bulky,recycling","data.austintexas.gov","03/07/2013 10:07:19 PM +0000","256","rfif-mmvg","Listing of all recycling schedules city wide.","07/18/2012 02:09:39 PM +0000","905","Recycling Schedules","","opendataatx","Government","table","As Needed","Austin Resource Recovery","false"
"vaccinations,hhsd,vfc,immunized,fdhealth","data.austintexas.gov","09/16/2016 05:31:49 PM +0000","304","nttt-2a35","Adults and Children immunized through our HHSD safety net system that are VFC eligible","10/02/2012 09:36:10 PM +0000","1014","Adult and Children Vaccinations Provided","","opendataatx","Health","table","Monthly","Health and Human Services","false"
"performance,measures,performance measures","data.austintexas.gov","09/12/2016 12:00:19 PM +0000","261","vsbg-t3e9","This dataset provides the public an opportunity to review the measures of each city department and helps to maintain open communication and transparency with Austin residents. It is the dataset form of the online database, ePerformance Measures, found on the City’s website here: http://www.austintexas.gov/budget/eperf/index.cfm. The City of Austin is committed to providing the highest quality services to our community members. As efforts to be the most livable and best managed city in the country continue, this dataset provides valuable information needed to sustain service levels, strive for excellence, and continue improvement. Performance measures provide departmental staff and management with the critical operating information they need to assess quality service delivery and measure success. Measures provide City management key decision-making information for resource allocation, process improvements and other management decisions. Measures also provide the City Council comprehensive data on each department's primary operating functions. Further information on some of the key terms utilized throughout the dataset can be accessed through the Definitions section of the ePerf website: http://www.austintexas.gov/budget/eperf/index.cfm?fuseaction=home.Definitions. The data shown in the dataset is based on the most updated information available and could change as more current information is provided.; If you have any questions or comments regarding this database, or any budget inquiry, please contact the Budget Office via email at coa.budget@austintexas.gov or telephone at (512) 974-2610.","08/24/2015 08:30:31 PM +0000","649","City of Austin Performance Measures","","carawaym","Financial","table","Weekly","Financial Services","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","50","8qti-p566","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","10/14/2014 03:28:11 PM +0000","204","Old Mill Spring Conductivity","","Rob","Environmental","filter/grouped","Quarterly","","true"
"creeks,streams,channel,centerline,flowpath","data.austintexas.gov","","537","hqpf-kr96","Combination of stream centerlines created from aerial orthophotography, planimetrics based on LIDAR data ""Hydro_L"" (a non continuous stream) and construction plans which has been updated and edited to be a continuous stream; This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Communications and Technology Department for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness.","03/10/2015 05:59:07 PM +0000","960","Creek Lines","","Ben Vanderford","Geodata","map","As Needed","Communication and Technology Management","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","44","jmwm-pvfy","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/27/2014 10:22:16 PM +0000","158","BARTON AREA SPRINGS NTIRATE AVERAGE 2013","","Rob","Environmental","filter/grouped","Quarterly","","true"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","44","2k88-3yzu","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","06/06/2014 09:10:22 PM +0000","190","Buda (Big) Boulder Spring","","Rob","Environmental","filter/grouped","Quarterly","","true"
"","data.austintexas.gov","","390","it3m-vb7j","This feature class represents the zoning classification boundaries in the City of Austin and surrounding counties. Polygon geometry.","12/12/2011 02:42:42 PM +0000","862","Zoning","","opendataatx","","external dataset","Monthly","Communication and Technology Management","false"
"water quality,eii,ali,barton springs,lady bird lake,lake austin,salamanders,barton creek,bull creek,bacteria,coli","data.austintexas.gov","09/08/2016 07:17:32 PM +0000","45","ef45-2cus","Data collected to assess water quality conditions in the natural creeks, aquifers and lakes in the Austin area. This is raw data, provided directly from our Field Sample database (FSDB) and should be considered provisional. Data may or may not have been reviewed by project staff. Data quality (QC) flags have been provided to aid in the assessment of the data; R-flagged data should be considered suspect, but is provided as it represents taxpayer expenditure and the efforts undertaken to characterize the status of our environment. Note that some data over time will be improved and edited for accuracy and that QC flags can change based upon changes in project criteria.  Additional data may be availabe from other agencies (USGS, TCEQ, LCRA) and should be requested from them directly; some of this data may appear in those datasets.","02/27/2014 11:26:48 PM +0000","165","Mabel_Davis_Pond_Data_Summary","","Rob","Environmental","filter/grouped","Quarterly","","true"
"neighborhood,planning,areas,npa","data.austintexas.gov","","345","ci6h-vmgm","This feature class represents the boundaries of the City of Austin Neighborhood Planning Areas (NPA).  The status of these areas, as directed by City Council, can either be plan approved, planning underway/set to begin, future planning area, or non-neighborhood planning area. Future planning area boundaries may change before they are set by the City Council to begin.  See http://www.austintexas.gov/department/neighborhood-planning  for more information. This data has been produced by the City of Austin for the sole purpose of aiding internal processes and is not warranted for any other use. No warranty is made by the City of Austin regarding its accuracy or completeness. Acknowledgment of the “City of Austin, Geospatial Services – Data Development” would be appreciated in products derived from this data.","03/05/2015 03:19:01 PM +0000","1041","Neighborhood Planning Areas","","Aubrey Drescher","Neighborhood","map","Monthly","Communication and Technology Management","false"
"","data.austintexas.gov","08/24/2015 06:43:34 PM +0000","216","3237-g9rs","","02/10/2014 08:51:48 PM +0000","886","Economic Development Compliance: Active Chapter 380 Agreement Evaluation Criteria","","Melissa Alvarado","","table","As Needed","Economic Development","false"
