U ID,Derived View,Domain,Type,Name,Description,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Visits,Department,Owner,ContactEmail,Frequency
vz7r-szyz,true,data.austintexas.gov,chart,FY 2015_Visualization_Police_Percent of residents who are satisfied with the overall quality of police services,Dataset for the 2015 Annual Performance Report,05/10/2016 03:27:16 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",6,36,Financial Services,jesse.rodriguez,,Annually
vzgm-nu6k,true,data.austintexas.gov,chart,FY 2015_Visualization_ACCD_Percent of Clients That Would Schedule Another Event at the Convention Center,Dataset for the 2015 Annual Performance Report,05/06/2016 07:10:22 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",8,25,Financial Services,JillioG,,Annually
x9iz-agzd,true,data.austintexas.gov,chart,FY 2015_Visualization_Municipal Court_Average age of terminated cases,Dataset for the 2015 Annual Performance Report,05/10/2016 02:02:36 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,31,Financial Services,jesse.rodriguez,,Annually
y46x-vn3d,true,data.austintexas.gov,chart,FY 2015_Visualization_ASO_Percent Live Shelter Outcomes,Dataset for the 2015 Annual Performance Report,05/06/2016 03:49:48 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",7,22,Financial Services,Alyson,,Annually
yv5h-xzz5,true,data.austintexas.gov,chart,FY 2015_Visualization_ACD_Average Days from When Nuisance Abatement Complaints Are Reported Until Non-Judicial Compliance,Dataset for the 2015 Annual Performance Report,05/06/2016 04:35:22 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,27,Financial Services,Alyson,,Annually
2qar-gd4p,true,data.austintexas.gov,chart,FY 2015_Visualization_Municipal Court_Cases terminated vs cases filed,Dataset for the 2015 Annual Performance Report,05/10/2016 02:10:23 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",8,27,Financial Services,jesse.rodriguez,,Annually
4tn6-tdxk,true,data.austintexas.gov,chart,FY 2015_Visualization_ACD_Average Days from When Substandard Structure Complaints Are Reported Until Non-Judicial Compliance,Dataset for the 2015 Annual Performance Report,05/06/2016 04:46:52 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",11,23,Financial Services,Alyson,,Annually
6bnf-gjpp,true,data.austintexas.gov,chart,"FY 2015_Visualization_Police_Violent crime rate per 1,000 population",Dataset for the 2015 Annual Performance Report,05/10/2016 03:45:08 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",11,35,Financial Services,jesse.rodriguez,,Annually
7cpi-9dyr,true,data.austintexas.gov,chart,FY 2015_Visualization_PaZ_Percent of Neighborhood planning participants satisfied with the neighborhood planning process,Dataset for the 2015 Annual Performance Report,05/06/2016 09:33:11 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,31,Financial Services,jesse.rodriguez,,Annually
7iea-pcvr,true,data.austintexas.gov,chart,FY 2015_Visualization_EMS_Percent of potentially life-threatening calls responded to by emergency medical services within 9 minutes and 59 seconds within the city of Austin,Dataset for the 2015 Annual Performance Report,05/09/2016 04:25:18 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,31,Financial Services,jesse.rodriguez,,Annually
84i7-73kb,true,data.austintexas.gov,chart,FY 2015_Visualization_Municipal Court_Percent of cases set on a docket within 60 days,Dataset for the 2015 Annual Performance Report,05/10/2016 02:21:21 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,22,Financial Services,jesse.rodriguez,,Annually
jukz-za6j,false,data.austintexas.gov,table,Category Tiles,,05/02/2016 09:19:10 PM +0000,06/23/2016 06:06:45 PM +0000,,,105,51,,Hiko Naito,,
8gxu-iefr,true,data.austintexas.gov,chart,FY 2015_Visualization_Fire_Number of Technical Inspections,Dataset for the 2015 Annual Performance Report,05/09/2016 04:43:52 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",6,20,Financial Services,jesse.rodriguez,,Annually
8uvw-ksps,true,data.austintexas.gov,chart,FY 2015_Visualization_AE_System Average Interruption Frequency Index,Dataset for the 2015 Annual Performance Report,05/10/2016 04:43:36 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,27,Financial Services,jesse.rodriguez,,Annually
aiz8-8yi8,true,data.austintexas.gov,chart,FY 2015_Visualization_EMS_Percent reduction of EMS transport to hospitals of enrolled community health paramedic clients,Dataset for the 2015 Annual Performance Report,05/10/2016 08:27:37 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,19,Financial Services,jesse.rodriguez,,Annually
btn6-95cf,true,data.austintexas.gov,chart,FY 2015_Visualization_Fire_Percent of emergency incidents where the amount of time between call receipt and the arrival of AFD unit is 8 minutes or less,Dataset for the 2015 Annual Performance Report,05/09/2016 05:05:51 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",13,25,Financial Services,jesse.rodriguez,,Annually
c3ur-r4yc,true,data.austintexas.gov,chart,FY 2015_Visualization_PaZ_Number of neighborhood plans/rezonings scheduled on planning commission agenda,Dataset for the 2015 Annual Performance Report,05/06/2016 09:19:38 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",7,24,Financial Services,jesse.rodriguez,,Annually
cz6n-swxh,true,data.austintexas.gov,chart,"FY 2015_Visualization_Police_Property crime rate per 1,000 population",Dataset for the 2015 Annual Performance Report,05/10/2016 03:36:12 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,24,Financial Services,jesse.rodriguez,,Annually
dppt-udzy,true,data.austintexas.gov,chart,FY 2015_Visualization_Fire_Number of free smoke alarms installed,Dataset for the 2015 Annual Performance Report,05/09/2016 04:34:42 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,30,Financial Services,jesse.rodriguez,,Annually
f3zy-ipeq,true,data.austintexas.gov,chart,FY 2015_Visualization_DSD_Percent of initial commercial building plan reviews completed within the land development code mandated time of 21 days,Dataset for the 2015 Annual Performance Report,05/10/2016 06:26:57 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,26,Financial Services,jesse.rodriguez,,Annually
f47t-xpnf,true,data.austintexas.gov,chart,FY 2015_Visualization_NHCD_Rental units created and/or retained through the rental housing development assistance program,Dataset for the 2015 Annual Performance Report,05/06/2016 05:19:25 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",8,29,Financial Services,jesse.rodriguez,,Annually
gs93-can3,true,data.austintexas.gov,chart,FY 2015_Visualization_EDD_Number of jobs created as a result of family business loans,Dataset for the 2015 Annual Performance Report,05/06/2016 06:26:21 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",13,26,Financial Services,jesse.rodriguez,,Annually
hkdg-sdi9,true,data.austintexas.gov,chart,FY 2015_Visualization_EDD_Number of contracts with arts professionals and arts organizations,Dataset for the 2015 Annual Performance Report,05/06/2016 06:17:37 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,14,Financial Services,jesse.rodriguez,,Annually
ih6t-hanp,true,data.austintexas.gov,chart,FY 2015_Visualization_PW_Percent of projects that pass one-year warranty inspections without significant construction deficiencies,Dataset for the 2015 Annual Performance Report,05/10/2016 07:44:56 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,29,Financial Services,jesse.rodriguez,,Annually
jqg3-kefe,true,data.austintexas.gov,chart,FY 2015_Visualization_Fire_Percent of structure fires confined to room of origin,Dataset for the 2015 Annual Performance Report,05/09/2016 05:19:28 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",8,28,Financial Services,jesse.rodriguez,,Annually
nxae-scn9,true,data.austintexas.gov,chart,FY 2015_Visualization_ARR_Average pounds of recycled materials collected per customer account per week,Dataset for the 2015 Annual Performance Report,05/11/2016 04:38:30 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,24,Financial Services,jesse.rodriguez,,Annually
pk5p-ksak,true,data.austintexas.gov,chart,FY 2015_Visualization_Watershed_Percent of CIP projects that are substantially completed on schedule,Dataset for the 2015 Annual Performance Report,05/06/2016 10:08:54 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,27,Financial Services,jesse.rodriguez,,Annually
pnr2-kp5i,true,data.austintexas.gov,chart,FY 2015_Visualization_Watershed Protection_Gallons of pollutants recovered as a result of business inspections and spill response,Dataset for the 2015 Annual Performance Report,05/10/2016 07:58:26 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",11,31,Financial Services,jesse.rodriguez,,Annually
q85j-ufxy,true,data.austintexas.gov,chart,FY 2015_Visualization_Fire_Percent of customers satisfied with the quality of Austin Fire Department services,Dataset for the 2015 Annual Performance Report,05/10/2016 09:03:23 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",7,31,Financial Services,jesse.rodriguez,,Annually
qg44-bgsz,true,data.austintexas.gov,chart,FY 2015_Visualization_PaZ_Number of neighborhood plans/rezonings adopted by the City Council,Dataset for the 2015 Annual Performance Report,05/06/2016 09:07:54 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,22,Financial Services,jesse.rodriguez,,Annually
xbb9-nagu,false,data.austintexas.gov,story,Call Processing Time,,05/03/2016 06:47:24 PM +0000,05/03/2016 06:47:24 PM +0000,,,0,712,,jesse.rodriguez,,
qjkn-mm32,true,data.austintexas.gov,chart,FY 2015_Visualization_HHSD_Percent of women enrolled in WIC during pregnancy who subsequently breastfeed their children,Dataset for the 2015 Annual Performance Report,05/06/2016 04:39:22 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,29,Financial Services,jesse.rodriguez,,Annually
s36v-hze7,true,data.austintexas.gov,chart,FY 2015_Visualization_PW_Lane Miles of preventive maintenance crack seal completed,Dataset for the 2015 Annual Performance Report,05/06/2016 08:01:22 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",8,23,Financial Services,jesse.rodriguez,,Annually
u54e-fbbv,true,data.austintexas.gov,chart,FY 2015_Visualization_PW_YTD spending as a percent of spending plan estimated at the beginning of fiscal year,Dataset for the 2015 Annual Performance Report,05/06/2016 08:56:24 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",7,19,Financial Services,jesse.rodriguez,,Annually
uxy8-vjrq,true,data.austintexas.gov,chart,FY 2015_Visualization_EMS_EMS communications center average call processing time (in seconds),Dataset for the 2015 Annual Performance Report,05/09/2016 03:33:38 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,20,Financial Services,jesse.rodriguez,,Annually
vji6-3h79,true,data.austintexas.gov,chart,FY 2015_Visualization_Municipal Court_Percent of customers served within 10 minutes,Dataset for the 2015 Annual Performance Report,05/10/2016 02:34:39 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,24,Financial Services,jesse.rodriguez,,Annually
wgf2-x85y,true,data.austintexas.gov,chart,FY 2015_Visualization_Municipal Court_Percent of frequent offenders who complete rehabilitative recommendations,Dataset for the 2015 Annual Performance Report,05/10/2016 02:49:42 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,26,Financial Services,jesse.rodriguez,,Annually
wvy8-fnvr,true,data.austintexas.gov,chart,FY 2015_Visualization_Watershed Protection_Number of structures/roadways with increased flood protection--project completed,Dataset for the 2015 Annual Performance Report,05/10/2016 08:08:27 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,22,Financial Services,jesse.rodriguez,,Annually
xsu2-47gw,true,data.austintexas.gov,chart,FY 2015_Visualization_Watershed_Linear feet of storm drain infrastructure installed or replaced,Dataset for the 2015 Annual Performance Report,05/06/2016 09:52:17 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",7,27,Financial Services,jesse.rodriguez,,Annually
yekz-6t8r,true,data.austintexas.gov,chart,FY 2015_Visualization_EMS_Percent of priority one through five calls responded to on time within the city of Austin,Dataset for the 2015 Annual Performance Report,05/09/2016 04:01:51 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",10,27,Financial Services,jesse.rodriguez,,Annually
di5k-5w7y,true,data.austintexas.gov,chart,FY 2015_Visualization_ACCD_Client Evaluation Rating Summary,Dataset for the 2015 Annual Performance Report,05/17/2016 04:04:07 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",8,21,Financial Services,jesse.rodriguez,,Annually
npxv-a5fd,true,data.austintexas.gov,chart,FY 2015_Visualization_ACCD_Customer Rating,Dataset for the 2015 Annual Performance Report,05/17/2016 06:09:47 PM +0000,05/18/2016 02:17:19 PM +0000,Government,"indicator,measure,annual performance report",9,20,Financial Services,jesse.rodriguez,,Annually
7d7e-riap,true,data.austintexas.gov,filter/grouped,Fiscal Year 2013 eCheckbook payments,"Flat file data set of the data found in the Austin Finance Online eCheckbook application.  The data contained in this dataset is for informational purposes only and contains expenditure information for the City of Austin. Certain Austin Energy transactions have been excluded as competitive matters under Texas Government Code Section 552.133 and City Council Resolution 20051201-002; therefore, the line amounts may not reflect the total check amount if certain Austin Energy invoices were included on the check.  Please visit the Austin Finance Online website for a searchable front end to this data set.",07/22/2013 09:38:53 PM +0000,09/12/2016 12:07:59 PM +0000,Financial,"financial,echeckbook,checkbook,transparency,expenses,expenditures,finance,payment,checks,payments",51,614,Financial Services,Chris,,Monthly
xbbp-8bw7,false,data.austintexas.gov,table,November Austin Animal Center Outcomes,,12/02/2013 11:15:15 PM +0000,12/02/2013 11:16:44 PM +0000,Government,"cat,dog,outcome,austin animal center",199,645,Animal Services,Austin Animal Center,,Monthly
a6pm-qynf,false,data.austintexas.gov,table,Austin Energy System Peak Demand,"System peak demand is the most amount of electricity consumed by Austin Energy customers at any given time.

A fiscal year begins October 1 and ends September 30 the following year.",12/16/2011 01:55:06 PM +0000,09/30/2016 04:53:53 PM +0000,,,217,717,Austin Energy,Shannon Wisner,,Annually
s4tf-m9g2,true,data.austintexas.gov,chart,Contracts Pie Chart,"Information about City''s authorized spending limit, contract lifetime (called inception-to-date) ordering and spending.  Contracts are visible only while active.  For the purposes of the Online Contract Catalog Flat File, a contract is a long-term (multi-year) contract for goods and services, and contracts for Construction activity. Within the City, these are referred to as Master Agreements and Central Purchase Contracts.",12/19/2011 05:58:56 AM +0000,09/12/2016 11:59:20 AM +0000,Financial,,70,673,,Cam Caldwell,,Monthly
qqq7-34jd,false,data.austintexas.gov,map,Austin City Grid 200,200 Grid or City Grid,03/05/2015 09:43:14 PM +0000,,Geodata,"austin,city,grid,200",181,734,Communication and Technology Management,Bruce Bacia,,Monthly
4u75-seeq,true,data.austintexas.gov,map,Map of Public Art Collection,This file contains the names and address of artworks commissioned through the Austin Art in Public Places Program,08/23/2012 12:30:44 PM +0000,08/22/2012 09:19:16 PM +0000,Fun,"art,culture,public,collection,aipp",118,630,Other,opendataatx,,Quarterly
8f6u-ixfp,false,data.austintexas.gov,story,Overall Satisfaction Excellent,,05/04/2016 08:48:54 PM +0000,05/04/2016 08:48:54 PM +0000,,,0,142,,Alyson,,
kyp9-ynfw,false,data.austintexas.gov,table,Bond Program Spending Summary,"The table provides spending details on the City’s voter-approved bond programs. The information summarizes spending by fiscal year quarter starting with FY 13 Q3. Please see the Capital Planning Office website, www.austintexas.gov/cip, for more information about the City’s voter-approved bond programs. The fiscal year begins October 1 and ends September 30. The first fiscal quarter is October through December; the second quarter is January through March; the third fiscal quarter is April through June; and the fourth fiscal quarter is July through September. The following are definitions of terms used in the table. Allocated: The amount of funds designated by the City of Austin Budget Office to be spent per reporting category or proposition. Allocated funds are tied to bond sales, which must be performed in $5,000 increments. Appropriated: City Council authorizes the appropriation of funds, which gives staff the legal authority to expend the funds for a specific purpose. City Council may approve multiple installments of funding throughout the project’s phases. Available: The amount of funds allocated minus the amount encumbered and expended. Available funds are programmed for specific purposes. Encumbered: Commitments made to unperformed contracts for goods or services. Expenditure: Funds that have been paid for goods or services.",07/07/2014 04:09:57 PM +0000,06/30/2016 08:44:35 PM +0000,Capital Planning,"cip,bond,bonds",238,551,Management Services,Ashley Parsons,,Quarterly
7ijg-kh2f,true,data.austintexas.gov,map,Affordable Housing Inventory Map,"This dataset is an inventory of the City of Austin's affordable housing investments secured via funds administered or agreements affirmed (developer incentives).  It includes, 1. all rental units with currently operating affordability periods funded via the Rental Housing Developer Assistance (RHDA) Program, Austin Housing Finance Corporation (AHFC) Private Activity Bonds, or a City of Austin Developer Incentive Program (S.M.A.R.T. Housing, University Neighborhood Overlay (UNO), Transit Oriented Development (TOD), Vertical Mixed Use (VMU), or Rainey District (RAINEY). 2. All ownership units with currently operating affordability periods funded via the Acquisition & Development - Developer (A&D-D) Program from 2007 - 2014. Selected field descriptions: 1. Contract ID# - a unique identifier for each contract or agreement. 2. Development Program - City program responsible for the creation/retention of affordable units. 3. Affordability Period - The period in which rents are restricted. 4. Units at X% MFI - the number of restricted to various income levels determined as a percentage of the Austin-Round Rock-San Marcos Metropolitan Statistical Area (MSA) Median Family Income (MFI).  For MFI reference visit - http://www.austintexas.gov/page/income-limits. 5. Approx. % of City Funds Leveraged - Amount of external funding secured for development as a percentage of the City's investment.",08/12/2015 07:07:29 PM +0000,08/25/2015 06:12:41 PM +0000,Neighborhood,"housing,affordable,mfi,rhda,a&d,ahfc,developer incentives,density bonus,nhcd",66,932,Neighborhood Housing and Community Development,Jonathan Tomko,,As Needed
fmm2-ytyt,true,data.austintexas.gov,filter/grouped,Pothole Repair,"Data collected from CSR production system.  
Data begins 01/03/2014 and is refreshed daily at 4:00am.

For more info: http://austintexas.gov/department/311/socrata",05/19/2015 12:14:14 AM +0000,10/03/2016 02:50:23 AM +0000,Government,"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311",69,666,Austin Energy,Austin 311,,Daily
gjtj-jt2d,false,data.austintexas.gov,table,EMS - Incidents by Month,"This table contains data describing requests for assistance received by ATCEMS.  Incident counts are broken out by location, and priority for City of Austin and Travis County incidents.

See document attached to metadata for more details.",10/16/2014 01:33:05 PM +0000,09/10/2016 03:30:36 PM +0000,Public Safety,"ems,incidents,atcems,demand,workload",241,681,Emergency Medical Services,Austin-Travis County EMS,,Monthly
vfwe-ky9j,false,data.austintexas.gov,map,Core Transit Corridors,"Core Transit Corridors identified in the May 12, 2005 City Council Approved Design Standards Policy Document, with recommended amendments made August 4, 2006.  These corridors were created to allow the development of vertical mixed-use buildings where the Core Transit Corridor or Future Core Transit Corridor is the primary street, subject to compliance in the City Development Code. This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of property boundaries. This product has been produced by the Planning and Development Review for the sole purpose of geographic reference. No warranty is made by the City of Austin regarding specific accuracy or completeness. Acknowledgment of the City of Austin GIS Division and the Planning and Development Review Department would be appreciated in products derived from these data.",03/05/2015 03:45:02 PM +0000,,Geodata,"core,transit,corridors,development,code,transportation,mobility",269,847,Communication and Technology Management,Aubrey Drescher,,Monthly
sa46-j6ua,true,data.austintexas.gov,chart,2012 Bond Program Spending Summary - FY 2015 Q4,"The table provides spending details on the City’s voter-approved bond programs. The information summarizes spending by fiscal year quarter starting with FY 13 Q3. Please see the Capital Planning Office website, www.austintexas.gov/cip, for more information about the City’s voter-approved bond programs. The fiscal year begins October 1 and ends September 30. The first fiscal quarter is October through December; the second quarter is January through March; the third fiscal quarter is April through June; and the fourth fiscal quarter is July through September. The following are definitions of terms used in the table. Allocated: The amount of funds designated by the City of Austin Budget Office to be spent per reporting category or proposition. Allocated funds are tied to bond sales, which must be performed in $5,000 increments. Appropriated: City Council authorizes the appropriation of funds, which gives staff the legal authority to expend the funds for a specific purpose. City Council may approve multiple installments of funding throughout the project’s phases. Available: The amount of funds allocated minus the amount encumbered and expended. Available funds are programmed for specific purposes. Encumbered: Commitments made to unperformed contracts for goods or services. Expenditure: Funds that have been paid for goods or services.",02/09/2016 04:43:16 PM +0000,06/30/2016 08:44:35 PM +0000,Capital Planning,"cip,bond,bonds",15,499,Management Services,Ashley Parsons,,Quarterly
3ghn-wv5a,false,data.austintexas.gov,table,2012 Austin Animal Center Intakes,Animal and intake descriptions for Austin Animal Center cats and dogs in 2012.,11/21/2013 07:57:44 PM +0000,11/21/2013 08:01:07 PM +0000,Government,"animals,animal services,2012,intake,austin animal center",253,711,Animal Services,Austin Animal Center,,Annually
xp28-5kft,false,data.austintexas.gov,table,2014 Austin Digital Assessment Individual Responses,"The 2014 Austin Digital Assessment Project was supported by the Telecommunications & Regulatory Affairs Office of the City of Austin, the Telecommunications and Information Policy Institute at the University of Texas, and faculty and graduate students from the Department of Radio, Television, and Film and the University of Texas. 

This dataset includes the individual survey responses. To see aggregated dataset weighted to reflect Austin demographics, refer to the attached document.",06/16/2015 08:28:56 PM +0000,06/16/2015 08:35:15 PM +0000,Government,"technology,digital inclusion,public access,training,literacy,online,community",167,834,Telecom & Regulatory Affairs,Sharla Chamberlain,,As Needed
t7pf-7p2m,true,data.austintexas.gov,map,Health and Human Services Locations,This dataset shows all locations for services provided by the Austin / Travis County Health and Human Services Department.,04/21/2014 08:35:58 PM +0000,11/17/2014 03:37:44 PM +0000,Health,"health,location,map",26,332,Health and Human Services,AustinGo,,As Needed
askx-pbnh,false,data.austintexas.gov,table,2013: ECAD Multi-Family Energy Audit and EUI Data,"The following information will allow you to understand the intent of data provided.  This report is in conjunction with Austin City Code 6-7’s Energy Conservation Audit and Disclosure Ordinance approved in November 2008 (amended in April 2011) to improve the energy efficiency of homes and buildings that receive electricity from Austin Energy. The ordinance meets one of the primary goals of the Austin Climate Protection Plan which is to offset 800 megawatts of peak energy demand by 2020 to help reduce Austin's carbon footprint.  In addition, this report contains information on multi-family properties older than 10 years that are required to perform an energy audit and report the results to the City of Austin and all residents living in those communities. The Austin Energy report quantifies the 2013 energy efficiency findings and the progress towards meeting City Council goals of Resolution 20081106-048.",03/14/2014 06:16:28 PM +0000,03/14/2014 06:16:59 PM +0000,Utility,"ecad,multi-family,multifamily,audit,ordinance,duct leakage,attic insulation,eui,20110421-002,austin",266,691,Austin Energy,Michael McCarthy,,Annually
uqe6-trgb,false,data.austintexas.gov,table,Municipal Court Caseload Information FY 2014,This data is provided to help with analysis of various violations charged throughout the City of Austin,11/14/2013 03:37:45 PM +0000,09/22/2016 05:38:52 PM +0000,Public Safety,"municipal,court,violation",669,608,Municipal Court,Jim Warren,,Monthly
azsy-zee6,false,data.austintexas.gov,table,Austin Animal Center FY14 Outcomes,all animal outcomes for Fiscal Year 2014 (October 1st 2013 to September 30th 2014),01/14/2015 04:54:01 PM +0000,01/14/2015 04:54:35 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",268,964,Animal Services,Austin Animal Center,,Annually
8fmp-66uj,false,data.austintexas.gov,map,County Boundaries,County boundaries in central Texas surrounding the city of Austin. This data has been produced by the City of Austin for the sole purpose of aiding internal processes and is not warranted for any other use. No warranty is made by the City of Austin regarding its accuracy or completeness.,03/05/2015 04:02:46 PM +0000,,Geodata,"county,counties,boundary,travis",313,687,Communication and Technology Management,Aubrey Drescher,,As Needed
jam6-aawd,false,data.austintexas.gov,table,Austin Animal Center FY14 Intakes,all animal intakes for Fiscal Year 2014 (October 1st 2013 to September 30th 2014),01/14/2015 04:49:30 PM +0000,01/14/2015 04:51:49 PM +0000,Government,"cat,dog,pet,austin animal center,no kill,data,open government",254,1061,Animal Services,Austin Animal Center,,Annually
cr7p-ssq7,true,data.austintexas.gov,map,Lobbyist Map,"City Code Chapter 4-8 requires that persons who are hired by individuals, corporations or groups to influence public officials or specific boards and commissions must:

    - Register as lobbyists
    - File quarterly activity reports
    - File amendment forms as needed
    - Pay appropriate fees 
    - File a termination notice upon ceasing lobbyist activities.

Click here to view current registered lobbyists and their clients.
If you have questions, contact the Lobbyist Coordinator, 974-2210.",12/18/2011 07:53:27 PM +0000,09/26/2016 02:14:17 PM +0000,,lobbyist,81,604,,Cam Caldwell,,
ergh-7g8p,false,data.austintexas.gov,table,2012 APD Crash Fatality Data,"1. The data provided is for informational use only and is not considered official APD crime data as in official Texas DPS or FBI crime reports.
2. APD’s crime database is continuously updated, so reports run at different times may produce different results.  Care should be taken when comparing against other reports as different data collection methods and different data sources may have been used.
3. The Austin Police Department does not assume any liability for any decision made or action taken or not taken by the recipient in reliance upon any information or data provided.",05/21/2013 03:19:15 PM +0000,05/21/2013 03:19:18 PM +0000,Public Safety,"traffic,crash,apd,police,fatality,2012",331,636,Austin Police ,opendataatx,,Annually
g74p-cg9u,false,data.austintexas.gov,map,Erosion Hazard Zone Review Buffer,"This dataset was created to show all areas where an erosion hazard zone analysis will be required for any proposed development.  THIS LAYER DOES NOT REPRESENT A CALCULATED EROSION HAZARD ZONE.  It simply indicates whether or not an erosion hazard zone analysis is needed per LDC (see below).  

Effective October 28, 2013, the City’s Land Development Code §25-7-32 allows:
 
“ The director may require … an analysis to establish the erosion hazard zone if the proposed development is within 100 feet of the centerline of a waterway with a drainage area of 64 acres or greater; or where significant erosion is present. ”",10/29/2013 06:28:58 PM +0000,,Permitting,"erosion,erosion hazard zone,review,permit,development,ldc,land development code,building permit,site plan",95,609,Watershed Protection,Janna Renfro,,As Needed
jbxk-jjnn,false,data.austintexas.gov,table,Municipal Court Caseload Information FY 2015,This data is provided to help with analysis of various violations charged throughout the City of Austin,03/25/2015 04:48:57 PM +0000,09/22/2016 05:42:37 PM +0000,Public Safety,"municipal,court,violation",227,1003,Municipal Court,Jim Warren,,Monthly
y7as-xtfc,true,data.austintexas.gov,map,West Campus Issues,"Data collected from CSR production system.  
Data begins 01/03/2014 and is refreshed daily at 4:00am.

For more info: http://austintexas.gov/department/311/socrata",01/26/2016 04:28:15 PM +0000,10/03/2016 02:50:23 AM +0000,Government,"311,3-1-1,csr,sr,service request,service requests,austin311,austin 311",29,448,Austin Energy,Austin 311,,Daily
'e'
Index scores (from both the EII and ALI) are an integer between 0 and 100.  Excellent  88-100 | Very Good 76-87 | Good 63-75 | Fair 51-62 | Marginal38-50 | Poor 26-37 | Bad 13-25 | Very Bad 0-12.

Problem Scores are an integer between 1 and 100 with 1 being ""No Problem"" and 100 being a highest priority.

EII Methodology:

http://www.austintexas.gov/watershed_protection/publications/document.cfm?id=186267

Master Plan Problem Score Methodology:

http://www.austintexas.gov/watershed_protection/publications/document.cfm?id=186352

Lake Index Methodology:

http://www.austintexas.gov/watershed_protection/publications/document.cfm?id=196479",04/09/2015 06:44:05 PM +0000,04/10/2015 04:36:50 PM +0000,Environmental,"water quality,watershed protection,creeks,eii,environmental integrity index,ali,austin lakes index",35,703,Watershed Protection,Watershed Education,,Annually
